dur+I42F9A1:G82,spkts,sttl,sbytes,smean,sload,ct_dst_sport_ltm,attack_cat,label
0.000004,2,254,200,100,160000000,6,1,1
0.000012,2,254,200,100,66666664,6,1,1
0.000012,2,254,200,100,66666664,2,1,1
0.000012,2,254,200,100,72727272,6,1,1
0.000012,2,254,200,100,160000000,6,1,1
0.000007,2,254,200,100,114285712,2,1,1
0.00001,2,254,200,100,80000000,2,1,1
1.240606,4,254,400,100,1934.538574,6,1,1
1.035326,22,62,2775,126,20468.91406,1,2,1
0.000011,2,254,180,90,65454544,14,2,1
2.154039,20,62,936,47,3305.418457,1,2,1
0.190967,10,254,2106,211,79427.33594,1,2,1
0.000004,2,254,200,100,72727272,4,2,1
0.000011,2,254,552,276,200727264,2,2,1
0.233792,10,62,902,90,27785.38086,1,2,1
0.446527,8,62,364,46,5715.219727,1,2,1
0.27553,10,254,732,73,19134.03125,1,2,1
4.48165,24,62,1236,52,2115.29248,1,2,1
0.855578,40,62,30939,773,282064.2813,1,2,1
1.074965,14,254,7784,556,53791.51953,1,2,1
0.00001,2,254,200,100,80000000,2,2,1
0.823417,22,62,3863,176,35831.17578,1,2,1
0.00001,2,254,200,100,80000000,2,2,1
0.220317,10,62,796,80,26035.21289,1,2,1
0.000005,2,254,200,100,160000000,4,2,1
0.000009,2,254,200,100,88888888,3,2,1
0.248645,10,62,850,85,24613.40625,1,2,1
0.000008,2,254,200,100,100000000,3,2,1
0.201503,10,254,2270,227,81110.46094,1,2,1
1.416491,18,254,9140,508,48757.10547,1,3,1
0.000011,2,254,180,90,65454544,14,3,1
0.755688,10,254,842,84,8024.475586,1,3,1
0.862805,12,254,5742,479,48808.24609,1,3,1
0.985481,10,254,862,86,6299.461914,1,3,1
0.525997,10,254,1014,101,13886.01074,1,3,1
0.668237,32,254,27608,863,320197.8,1,3,1
1.002146,32,254,28122,879,217485.3,1,3,1
0.520529,32,254,27208,850,405095.5938,2,3,1
0.000008,2,254,200,100,100000000,2,3,1
0.000008,2,254,200,100,100000000,2,3,1
0.583265,20,254,17286,864,225242.3906,1,3,1
0.471293,10,254,758,76,11593.63672,1,3,1
0.311644,10,254,1526,153,35271.01563,1,3,1
1.262357,12,254,1046,87,6077.52002,1,3,1
1.925028,12,254,1264,105,4816.553223,1,3,1
0.905546,12,254,1110,93,8993.46875,1,3,1
0.30771,10,254,484,48,11335.34863,2,3,1
0.30771,10,254,484,48,11335.34863,2,3,1
0.293786,10,254,484,48,11872.58789,1,3,1
0.323281,10,254,484,48,10789.37598,1,3,1
0.498529,10,254,486,49,7028.678711,1,3,1
0.404506,10,254,490,49,8721.75,1,3,1
0.000008,2,254,114,57,57000000,3,4,1
0.000004,2,254,114,57,114000000,4,4,1
0.00001,2,254,114,57,45600000,3,4,1
0.000009,2,254,114,57,50666664,3,4,1
0.256482,10,62,1530,153,42950.38281,1,4,1
0.000004,2,254,114,57,114000000,4,4,1
0.000004,2,254,114,57,114000000,4,4,1
0.000007,2,254,114,57,65142856,3,4,1
0.838067,10,254,1268,127,10901.27637,1,4,1
0.000007,2,254,114,57,65142856,3,4,1
0.000009,2,254,114,57,50666664,2,4,1
0.000008,2,254,114,57,57000000,24,4,1
0.000009,2,254,114,57,50666664,18,4,1
0.000008,2,254,114,57,57000000,18,4,1
0.000009,2,254,114,57,50666664,2,4,1
0.000004,2,254,114,57,114000000,25,4,1
0.000005,2,254,114,57,91200000,14,4,1
0.000009,2,254,114,57,50666664,23,4,1
0.000005,2,254,114,57,91200000,14,4,1
0.000001,2,254,114,57,456000000,24,4,1
0.000009,2,254,114,57,50666664,23,4,1
1.57711,218,62,264123,1212,1333639.375,1,5,1
0.000003,2,254,200,100,266666656,2,5,1
0.000004,2,254,200,100,72727272,4,5,1
0.000003,2,254,200,100,266666656,4,5,1
0.527204,16,254,9624,602,136918.5469,1,5,1
2.012195,10,254,740,74,2647.854,1,5,1
0.45117,10,62,818,82,13068.25,1,5,1
4.830087,18,254,3292,183,5151.046,1,5,1
0.748033,18,62,1006,56,10170.67481,1,5,1
0.397344,8,254,364,46,6422.646484,1,5,1
0.000009,2,254,440,220,195555552,1,5,1
1.503742,32,254,7082,221,36500.94141,1,5,1
1.534596,18,254,2858,159,14075.36621,1,5,1
0.471318,16,62,1036,65,16498.41406,1,5,1
0.760104,14,62,698,50,6830.644043,1,5,1
0.000011,2,254,1412,706,513454528,1,5,1
0.000006,2,254,200,100,133333328,3,5,1
0.000003,2,254,180,90,239999984,10,5,1
0.000009,2,254,200,100,88888888,1,5,1
0.000006,2,254,200,100,133333328,3,5,1
0.000009,2,254,200,100,88888888,1,5,1
0.000003,2,254,200,100,266666656,3,5,1
0.000006,2,254,200,100,133333328,3,6,1
0.000005,2,254,200,100,66666664,6,6,1
0.000003,2,254,200,100,266666656,6,6,1
0.000003,2,254,200,100,266666656,4,6,1
0.000003,2,254,200,100,266666656,2,6,1
0.578658,8,254,364,46,4410.205,1,6,1
0.179517,8,254,364,46,14215.92,1,6,1
0.327231,10,254,856,86,18849.07,1,6,1
0.174784,8,62,364,46,14600.87793,1,6,1
1.066736,42,254,1890,45,13836.60059,1,6,1
0.295054,8,254,364,46,8649.264648,1,6,1
0.000002,2,254,180,90,360000000,10,6,1
0.000003,2,254,180,90,239999984,3,6,1
0.000003,2,254,180,90,239999984,10,6,1
1.246909,4,254,400,100,1924.759521,2,6,1
0.000006,2,254,180,90,119999992,10,6,1
0.000008,2,254,200,100,100000000,1,6,1
0.000006,2,254,180,90,119999992,10,6,1
0.000005,2,254,200,100,160000000,1,6,1
0.000005,2,254,200,100,160000000,3,6,1
1.745502,10,254,564,56,2328.27002,1,7,1
1.176373,10,254,876,88,5365.64502,1,7,1
0.695493,10,254,810,81,8385.418945,1,7,1
1.474494,10,254,564,56,2756.199707,1,7,1
0.521806,10,254,848,85,11713.16504,1,7,1
1.587008,10,254,564,56,2560.793701,1,7,1
1.001736,10,254,564,56,4056.957031,1,7,1
1.760645,10,254,564,56,2308.244873,1,7,1
0.000004,2,254,200,0,200000000,2,7,1
0.000008,2,254,200,0,100000000,2,7,1
0.715972,10,254,564,44,5676.199707,1,7,1
0.245137,10,254,758,76,22289.57617,1,7,1
0.219829,10,254,802,80,26274.96875,1,7,1
0.234742,10,254,926,93,28422.69336,1,7,1
0.000003,2,254,168,84,224000000,1,7,1
0.00001,2,254,168,84,67200000,1,7,1
0.000006,2,254,200,100,133333328,3,7,1
0.313725,10,254,508,51,11679.01856,1,7,1
0.680117,10,254,564,56,5975.442383,1,7,1
0.000008,2,254,168,84,84000000,1,7,1
0.666611,10,254,564,56,6096.508789,1,7,1
0.000004,2,254,168,84,168000000,1,7,1
0.000012,2,254,232,116,77333328,1,8,x
0.000005,2,254,250,125,2.00E+08,1,8,1
0.180194,10,254,502,50,20067.26,1,8,1
2.774108,10,254,748,75,1943.688,1,8,1
0.000001,2,254,300,150,1.20E+09,1,8,1
0.000004,2,254,744,372,7.44E+08,1,8,1
0.23462,10,254,1142,114,3.51E+04,1,8,1
0.317344,10,254,1018,102,2.31E+04,1,8,1
0.00001,2,254,744,372,297600000,1,8,1
0.000006,2,254,744,372,495999968,1,8,1
0.477643,10,254,598,60,9027.663086,1,8,1
0.529365,10,254,536,54,7299.311523,1,8,1
0.000007,2,254,200,100,114285712,1,8,1
0.511544,10,254,908,91,12792.64356,1,8,1
0.000008,2,254,690,345,345000000,1,8,1
0.000004,2,254,250,125,250000000,1,8,1
1.002481,10,254,1836,184,13191.27246,1,8,1
0.474729,10,254,620,62,9403.259766,1,8,1
0.736154,10,254,532,53,5205.432617,1,8,1
0.585202,10,254,888,89,10936.39453,1,8,1
0.546226,10,254,780,78,10281.45801,1,8,1
0.000008,2,254,166,83,83000000,1,8,1
0.201833,10,254,1308,131,46692.07031,1,9,1
4.23501,46,254,2314,50,4276.730957,1,9,1
0.196822,10,254,1022,102,37394.19141,1,9,1
1.260943,10,254,1282,128,7321.504395,1,9,1
0.489608,14,254,8682,620,131729.9,1,9,1
0.260798,10,254,1308,131,36135.25,1,9,1
0.000009,2,254,2050,1025,9.11E+08,1,9,1
0.476089,10,254,1296,130,19609.78,1,9,1
0.344051,10,254,1296,130,27135.51172,1,9,1
0.796534,10,254,1296,130,11720.78027,1,9,1
0.928794,10,254,1302,130,10094.81055,1,9,1
0.226263,10,254,1302,130,41438.50391,1,9,1
0.390372,14,254,8682,620,165216.7656,1,9,1
5.566142,64,254,3114,49,4406.642578,1,9,1
0.328449,10,254,1296,130,28424.50391,1,9,1
0.198608,10,254,1294,129,46926.60938,1,9,1
0.689624,10,254,1302,130,13595.81445,1,9,1
0.716176,10,254,1314,131,13214.62891,1,9,1
2.008628,38,254,1988,52,7710.736328,1,9,1
0.00001,2,254,808,404,323200000,1,9,1
0.344051,10,254,1296,130,27135.51172,1,9,1
0.796534,10,254,1296,130,11720.78027,1,9,1
1.180302,10,254,1308,131,7984.396973,1,9,1
