dur,spkts,sttl,sbytes,smean,sload,ct_dst_sport_ltm,attack_cat,label
16.448053,14,254,630,45,284.532166,3,0,0
15.40279,14,254,630,45,303.841064,3,0,0
15.40279,14,254,630,45,303.841064,3,0,0
2.417396,12,62,896,75,2720.282471,1,0,0
16.044233,12,254,540,45,246.817657,2,0,0
16.352577,12,254,540,45,242.163666,3,0,0
16.044233,12,254,540,45,246.817657,1,0,0
16.352577,12,254,540,45,242.163666,3,0,0
16.352577,12,254,540,45,242.163666,3,0,0
16.044233,12,254,540,45,246.817657,2,0,0
0.664512,10,254,534,53,5790.71582,1,0,0
0.860208,10,254,534,53,4473.336914,1,0,0
15.102544,10,254,450,45,214.533401,2,0,0
1.979445,10,62,810,81,2946.280518,1,0,0
15.102544,10,254,450,45,214.533401,2,0,0
1.763225,10,254,2516,252,10276.62402,1,0,0
0.651652,10,254,534,53,5904.992188,1,0,0
15.684376,10,254,450,45,206.575012,2,0,0
15.684376,10,254,450,45,206.575012,2,0,0
15.008936,8,254,360,45,167.899979,2,0,0
15.008936,8,254,360,45,167.899979,2,0,0
1.15935,10,254,534,53,3319.101074,1,0,0
16.131804,8,254,360,45,156.213165,2,0,0
16.131804,8,254,360,45,156.213165,2,0,0
0.717487,10,254,534,53,5363.163574,1,0,0
16.488672,6,254,270,45,109.165855,2,0,0
0.874834,10,254,2516,252,20712.5,1,0,0
16.800188,6,254,270,45,107.141655,1,0,0
16.488672,6,254,270,45,109.165855,2,0,0
16.800188,6,254,270,45,107.141655,1,0,0
1.538604,10,62,814,81,3811.24707,1,0,0
16.136995,6,254,270,45,111.54493,2,0,0
16.136995,6,254,270,45,111.54493,2,0,0
17.272808,4,254,180,45,62.526024,2,0,0
17.267853,4,254,180,45,62.543964,2,0,0
17.267853,4,254,180,45,62.543964,2,0,0
0.869206,10,254,534,53,4427.028809,1,0,0
19.176811,4,254,180,45,56.31802,2,0,0
17.272808,4,254,180,45,62.526024,2,0,0
16.687513,4,254,180,45,64.719048,2,0,0
19.176811,4,254,180,45,56.31802,2,0,0
0.816781,10,254,2516,252,22184.65039,1,0,0
16.687513,4,254,180,45,64.719048,2,0,0
0.724897,10,254,534,53,5308.340332,1,0,0
1.625287,12,62,876,73,3952.532471,1,0,0
1.739142,10,254,2516,252,10418.93066,1,0,0
0.885835,10,254,534,53,4343.924316,1,0,0
1.179485,10,254,534,53,3262.440918,1,0,0
1.318945,10,254,2516,252,13738.25195,1,0,0
1.048635,10,62,824,82,5660.692383,1,0,0
1.49338,10,62,822,82,3964.161865,3,0,0
1.49338,10,62,822,82,3964.161865,3,0,0
0.657843,10,254,534,53,5849.419922,1,0,0
1.49338,10,62,822,82,3964.161865,3,0,0
1.450415,10,254,2516,252,12492.97559,1,0,0
1.45018,10,254,534,53,2653.463623,1,0,0
1.302269,10,254,534,53,2954.842773,1,0,0
1.20946,10,62,816,82,4861.673828,1,0,0
0.638839,10,254,2516,252,28363.95313,1,0,0
1.368353,10,62,810,81,4262.058105,2,0,0
1.368353,10,62,810,81,4262.058105,2,0,0
0.963874,10,254,2516,252,18799.13867,1,0,0
0.866189,10,254,534,53,4442.448242,1,0,0
0.720965,10,62,800,80,7989.291992,1,0,0
0.650809,10,254,2516,252,27842.27148,1,0,0
1.09756,10,62,792,79,5196.981934,1,0,0
0.847027,10,254,534,53,4542.948242,1,0,0
0.698707,10,254,2516,252,25933.61719,1,0,0
1.058935,10,254,2516,252,17111.53125,1,0,0
0.762124,10,254,534,53,5049.047363,1,0,0
0.696721,10,254,2516,252,26007.54102,1,0,0
1.552272,10,62,822,82,3813.764648,1,0,0
1.080772,10,254,534,53,3560.417725,1,0,0
0.685279,10,254,534,53,5615.230957,1,0,0
0.874161,10,62,796,80,6561.720215,1,0,0
0.633507,10,254,2516,252,28602.68164,1,0,0
0.418529,10,254,534,53,9194.105469,1,0,0
9.734114,12,254,540,45,406.816711,2,0,0
9.05373,12,254,540,45,437.388794,2,0,0
8.834706,12,254,540,45,448.232208,2,0,0
9.05373,12,254,540,45,437.388794,2,0,0
8.232217,12,254,540,45,481.036896,2,0,0
9.492497,12,254,540,45,417.17157,2,0,0
8.232217,12,254,540,45,481.036896,2,0,0
9.492497,12,254,540,45,417.17157,2,0,0
1.139638,10,254,534,53,3376.510986,1,0,0
9.734114,12,254,540,45,406.816711,2,0,0
8.834706,12,254,540,45,448.232208,2,0,0
6e-06,2,254,90,45,59999996.0,1,0,0
13.982293,10,254,450,45,231.721649,2,0,0
20.535067,10,254,450,45,157.778885,2,0,0
18.112692,10,254,450,45,178.880096,2,0,0
0.500492,10,254,2516,252,36204.375,1,0,0
15.328777,10,254,450,45,211.367157,2,0,0
14.958252,10,254,450,45,216.602844,2,0,0
13.053721,10,254,450,45,248.205078,2,0,0
1.12155,12,62,890,74,5820.516602,1,0,0
14.958252,10,254,450,45,216.602844,2,0,0
19.106997,10,254,450,45,169.571396,2,0,0
24.755817,10,254,450,45,130.878326,1,0,0
23.255651,10,254,450,45,139.320969,2,0,0
22.761002,10,254,450,45,142.34874,2,0,0
23.255651,10,254,450,45,139.320969,2,0,0
22.761002,10,254,450,45,142.34874,2,0,0
18.44595,10,254,450,45,175.648315,1,0,0
24.755817,10,254,450,45,130.878326,1,0,0
15.328777,10,254,450,45,211.367157,2,0,0
13.053721,10,254,450,45,248.205078,2,0,0
20.535067,10,254,450,45,157.778885,2,0,0
21.025787,10,254,450,45,154.096481,2,0,0
21.987556,10,254,450,45,147.356079,2,0,0
18.112692,10,254,450,45,178.880096,2,0,0
18.44595,10,254,450,45,175.648315,1,0,0
21.987556,10,254,450,45,147.356079,2,0,0
21.025787,10,254,450,45,154.096481,2,0,0
19.106997,10,254,450,45,169.571396,2,0,0
13.982293,10,254,450,45,231.721649,2,0,0
23.333012,8,254,360,45,108.001488,2,0,0
23.333012,8,254,360,45,108.001488,2,0,0
9e-06,2,254,104,52,46222220.0,1,0,0
25.801886,8,254,360,45,97.667282,2,0,0
23.387411,8,254,360,45,107.750275,1,0,0
23.660702,8,254,360,45,106.505714,2,0,0
25.758749,8,254,360,45,97.830841,2,0,0
23.660702,8,254,360,45,106.505714,2,0,0
25.758749,8,254,360,45,97.830841,2,0,0
23.387411,8,254,360,45,107.750275,1,0,0
1e-06,2,254,104,52,416000000.0,1,0,0
1.673592,10,62,810,81,3484.720459,1,0,0
0.764506,10,254,534,53,5033.315918,1,0,0
25.801886,8,254,360,45,97.667282,2,0,0
2.185865,10,254,2516,252,8289.625,1,0,0
4e-06,2,254,90,45,90000000.0,4,0,0
24.682304,6,254,270,45,72.926743,2,0,0
25.819431,6,254,270,45,69.714935,2,0,0
3e-06,2,254,2120,1060,2826666496.0,4,0,0
4e-06,2,254,90,45,90000000.0,4,0,0
25.819431,6,254,270,45,69.714935,2,0,0
3e-06,2,254,2120,1060,2826666496.0,4,0,0
24.682304,6,254,270,45,72.926743,2,0,0
1.429959,10,254,534,53,2690.986084,1,0,0
31.542561,4,254,180,45,34.239452,2,0,0
29.195513,4,254,180,45,36.991985,2,0,0
30.79278,4,254,180,45,35.073158,2,0,0
30.79278,4,254,180,45,35.073158,2,0,0
27.413933,4,254,180,45,39.396027,1,0,0
31.542561,4,254,180,45,34.239452,2,0,0
0.524961,10,254,534,53,7330.068359,1,0,0
3e-06,2,254,104,52,138666656.0,1,0,0
29.195513,4,254,180,45,36.991985,2,0,0
27.413933,4,254,180,45,39.396027,1,0,0
5e-06,2,254,90,45,72000000.0,2,0,0
5e-06,2,254,90,45,72000000.0,2,0,0
1.129944,10,254,534,53,3405.478516,1,0,0
1.964566,10,254,2516,252,9223.411133,1,0,0
2.349783,12,62,888,74,2771.319824,1,0,0
7e-06,2,254,104,52,59428572.0,1,0,0
0.921987,20,254,1280,64,10551.125,1,7,1
0.921987,20,254,1280,64,10551.125,1,7,1
0.921987,20,254,1280,64,10551.125,1,2,1
0.921987,20,254,1280,64,10551.125,1,3,1
9e-06,2,254,104,52,46222220.0,1,4,1
9e-06,2,254,156,78,69333328.0,1,1,1
9e-06,2,254,156,78,69333328.0,1,4,1
9e-06,2,254,156,78,69333328.0,1,4,1
9e-06,2,254,156,78,69333328.0,1,4,1
1.6e-05,2,254,196,98,49000000.0,1,4,1
0.224524,10,62,830,83,26616.30664,1,4,1
0.409782,10,62,852,85,14973.81543,1,4,1
0.258515,10,254,1064,106,29646.24805,1,4,1
0.674665,10,254,564,56,6023.730469,1,7,1
5.600391,12,62,886,74,1161.347534,1,4,1
0.285988,10,62,1196,120,30127.13867,1,4,1
3e-06,2,254,168,84,224000000.0,1,7,1
0.663844,10,254,564,56,6121.92041,1,7,1
0.217312,10,254,1148,115,38065.08594,1,7,1
7.629429,202,62,9082,45,9476.987305,1,4,1
0.502392,10,254,938,94,13455.62891,1,4,1
0.460161,12,62,908,76,14481.8877,1,4,1
9e-06,2,254,168,84,74666664.0,1,7,1
1.244202,28,254,3024,108,18749.36719,1,5,1
1.244202,28,254,3024,108,18749.36719,1,4,1
1.244202,28,254,3024,108,18749.36719,1,4,1
1.244202,28,254,3024,108,18749.36719,1,4,1
1.244202,28,254,3024,108,18749.36719,1,4,1
0.289402,10,254,1134,113,28223.71484,1,4,1
0.667368,10,254,564,56,6089.59375,1,7,1
0.209133,10,254,508,51,17519.95117,1,5,1
0.197552,10,254,758,76,27658.54102,1,5,1
8e-06,2,254,168,84,84000000.0,1,7,1
0.483004,10,254,566,57,8447.134766,1,5,1
0.523646,10,254,674,67,9273.44043,1,5,1
2.032866,22,62,1186,54,4458.729492,1,4,1
0.727527,8,62,364,46,3507.773438,1,4,1
9e-06,2,254,168,84,74666664.0,1,7,1
0.681871,20,254,17266,863,192446.9531,1,5,1
0.566928,10,254,490,49,6223.012207,1,5,1
0.833854,10,254,738,74,6380.013672,1,5,1
0.766293,10,254,1506,151,14156.46484,1,5,1
0.583476,10,254,1098,110,13560.11231,1,4,1
0.625871,12,254,3984,332,46680.54688,1,4,1
1.173262,16,254,2080,130,13296.2627,1,3,1
0.451172,10,254,490,49,7819.634277,1,5,1
0.877186,10,254,564,56,4632.99707,1,7,1
0.694908,10,254,546,55,5664.059082,1,5,1
0.534477,10,254,546,55,7364.208496,1,5,1
0.322297,10,254,546,55,12212.33789,1,5,1
0.688948,10,62,908,91,9498.540039,1,4,1
0.537852,10,254,484,48,6485.055664,1,5,1
0.772218,10,62,808,81,7541.911621,1,4,1
0.432617,10,254,968,97,16125.11719,1,4,1
0.249214,10,62,848,85,24525.10742,1,4,1
0.647249,10,254,564,56,6278.881836,1,7,1
0.190223,10,254,902,90,34149.39453,1,7,1
0.894891,20,62,3178,159,26997.70117,1,4,1
0.998863,20,62,948,47,7216.205078,1,4,1
0.282722,10,62,844,84,21505.22461,1,4,1
9.95755,246,62,10662,43,8531.416016,1,4,1
1.232252,20,62,950,48,5862.437012,1,4,1
0.305854,10,254,1582,158,37246.53125,1,4,1
0.845421,16,254,9684,605,85912.22656,1,4,1
0.379788,10,254,1294,129,24540.00586,1,5,1
0.588943,10,254,2062,206,25211.26758,1,5,1
0.596682,12,254,3678,307,45210.01172,1,5,1
0.725222,10,254,550,55,5460.396973,1,5,1
1e-05,2,254,168,84,67200000.0,1,7,1
0.740256,10,254,774,77,7532.529297,1,7,1
1.189909,10,254,718,72,4349.912598,1,5,1
0.810054,10,254,1716,172,15258.24219,1,5,1
0.860513,12,254,3678,307,31348.74219,1,5,1
1.1899,12,62,1326,111,8175.476562,1,4,1
0.721047,10,254,2484,248,24808.36914,1,5,1
0.801919,14,254,6830,488,63278.21094,1,5,1
0.407476,10,254,780,78,13782.40625,1,7,1
0.456038,10,254,550,55,8683.487305,1,5,1
0.69726,10,254,1294,129,13366.60645,1,5,1
1.155184,10,254,564,56,3518.054199,1,7,1
0.823709,12,62,914,76,8138.796387,1,4,1
1.094653,10,62,824,82,5422.723145,1,4,1
0.860687,12,254,992,83,8458.359375,2,5,1
44.22596,34,254,18872,555,3313.348145,3,5,1
1.004763,12,254,1092,91,7970.038574,1,5,1
1.393967,12,254,1164,97,6123.530762,2,5,1
1.31628,12,62,1314,110,7323.669922,1,4,1
1.392847,12,254,1084,90,5709.169922,2,5,1
2.838932,26,62,1222,47,3311.104248,1,4,1
5.293481,224,62,286548,1279,431125.0,1,4,1
0.837254,12,254,1080,90,9459.495117,1,5,1
1.46353,12,254,1232,103,6176.84668,1,5,1
1.843741,10,62,836,84,3267.27002,1,4,1
1.438237,10,62,958,96,4800.321777,1,3,1
1.263457,12,254,1174,98,6819.385742,1,5,1
1.465404,10,62,800,80,3930.656494,1,3,1
1.722713,12,254,988,82,4207.317383,1,5,1
2.337648,12,254,1228,102,3853.446045,1,5,1
3.429712,38,62,30764,810,69871.75781,1,4,1
2.360055,38,62,28162,741,92950.375,1,4,1
0.844596,12,254,1014,85,8808.945312,1,5,1
1.102556,12,254,1110,93,7386.473145,1,5,1
1.141352,12,254,1018,85,6546.621582,1,5,1
1.067207,12,254,1110,93,7631.134277,1,5,1
2.716886,12,254,1042,87,2814.987305,3,5,1
1.943965,36,254,34710,964,138874.9375,1,5,1
1.834468,10,62,818,82,3214.010742,1,4,1
1.468132,10,62,830,83,4070.478516,1,4,1
1.616972,14,254,1196,85,5496.693848,1,5,1
1.916194,12,254,3030,253,11597.99121,2,5,1
2.119298,14,254,698,50,2449.86792,1,5,1
2.22194,14,254,700,50,2340.297119,1,5,1
2.420967,12,254,1106,92,3350.727051,1,5,1
2.663656,14,254,698,50,1949.200684,1,5,1
1.905333,10,254,936,94,3539.538574,1,4,1
2.141633,12,254,3026,252,10362.18652,1,5,1
28.213135,20,254,1280,64,344.803925,1,3,1
28.213135,20,254,1280,64,344.803925,1,3,1
28.213135,20,254,1280,64,344.803925,1,3,1
28.213135,20,254,1280,64,344.803925,1,4,1
28.213135,20,254,1280,64,344.803925,1,4,1
28.213135,20,254,1280,64,344.803925,1,4,1
0.803314,48,62,41302,860,402751.625,1,4,1
0.678469,10,254,564,56,5989.956543,1,7,1
1.313131,22,62,1186,54,6902.586426,1,4,1
1.5e-05,2,254,168,84,44800000.0,1,7,1
0.624286,10,254,564,56,6509.836914,1,7,1
1.265907,150,62,172977,1153,1085855.375,1,4,1
3e-06,2,254,776,388,1034666624.0,1,5,1
3e-06,2,254,776,388,1034666624.0,1,4,1
3e-06,2,254,776,388,1034666624.0,1,4,1
3e-06,2,254,776,388,1034666624.0,1,4,1
3e-06,2,254,168,84,224000000.0,1,7,1
0.466699,18,254,2858,159,46282.50781,1,3,1
0.466699,18,254,2858,159,46282.50781,1,3,1
0.466699,18,254,2858,159,46282.50781,1,4,1
7e-06,2,254,168,84,96000000.0,1,7,1
0.180252,10,254,974,97,38923.28516,1,4,1
0.264132,10,62,748,75,20414.03516,1,4,1
4e-06,2,254,2150,1075,2150000128.0,1,5,1
1e-05,2,254,1970,985,788000000.0,1,5,1
1e-05,2,254,1850,925,740000000.0,1,5,1
8e-06,2,254,754,377,377000000.0,1,5,1
9e-06,2,254,1406,703,624888896.0,1,5,1
0.201833,10,254,1308,131,46692.07031,1,9,1
6e-06,2,254,756,378,503999968.0,1,5,1
1e-05,2,254,1768,884,707200000.0,1,5,1
0.611251,22,62,1172,53,14645.375,1,4,1
1.151317,22,62,1190,54,7893.568848,1,4,1
0.34468,12,62,1284,107,27318.0918,1,4,1
0.185405,10,254,512,51,19891.58789,1,4,1
0.644655,20,62,1104,55,13017.81641,1,4,1
1.225539,28,254,3926,140,24714.02344,1,4,1
0.201967,12,254,4708,392,170958.625,1,4,1
0.165417,12,254,3818,318,169269.1719,1,4,1
0.414536,10,254,1204,120,20919.77539,1,5,1
0.419779,10,254,1332,133,22850.11914,1,5,1
0.252441,10,254,1844,184,52606.35547,1,5,1
7.312841,40,254,10880,272,11604.79199,1,7,1
0.186136,10,62,816,82,31589.80469,1,4,1
0.246582,16,254,6924,433,210623.6406,1,4,1
0.188998,10,254,854,85,32550.60938,1,7,1
0.198691,10,254,918,92,33297.9375,1,4,1
4.490101,116,254,17078,147,30165.91406,2,5,1
43.982441,28,254,1568,56,275.018829,2,5,1
0.568472,18,254,2512,140,33394.78125,1,4,1
0.535636,12,254,1256,105,17205.71484,1,4,1
0.793553,16,254,906,57,8569.055664,1,5,1
0.905874,16,254,904,57,7488.899902,1,5,1
0.628707,10,62,964,96,11044.89063,1,4,1
0.954264,14,254,782,56,6094.749512,1,5,1
1.335126,16,254,904,57,5081.167969,1,5,1
0.417471,10,62,786,79,13567.41016,1,3,1
0.328615,10,62,888,89,19475.67773,1,4,1
0.720163,14,254,790,56,8153.709961,1,5,1
0.963038,18,254,2798,155,21955.51953,1,4,1
0.376248,10,254,1062,106,20327.01758,1,4,1
1.30776,34,62,23864,702,141695.7188,1,4,1
43.776703,5416,254,7164417,1323,1309024.125,1,4,1
0.338931,10,62,796,80,16923.79883,1,3,1
1.194859,20,62,934,47,5945.471191,1,4,1
0.796488,10,254,564,56,5102.399414,1,7,1
0.320574,10,254,568,57,12777.08203,1,8,1
0.367036,10,254,1092,109,21425.68945,1,4,1
7e-06,2,254,136,68,77714288.0,1,3,1
0.49391,10,62,770,77,11224.7168,1,4,1
0.340732,10,254,842,84,17796.97852,1,3,1
3e-06,2,254,168,84,224000000.0,1,7,1
0.829626,10,254,564,56,4898.592773,1,7,1
7e-06,2,254,406,203,232000000.0,1,8,1
0.915074,16,254,1536,96,12589.14551,1,5,1
0.328484,10,62,1126,113,24695.26758,1,4,1
0.381521,10,62,794,79,14992.62207,1,4,1
0.580452,12,254,2326,194,29397.7793,1,4,1
1.845588,24,62,4963,207,20619.98633,1,4,1
1.634732,20,62,1084,54,5040.581543,1,4,1
3e-06,2,254,78,39,104000000.0,1,4,1
3e-06,2,254,78,39,104000000.0,1,4,1
0.52179,10,254,684,68,9444.412109,1,8,1
1.300463,18,62,992,55,5764.101074,1,4,1
0.884886,10,254,564,56,4592.681641,1,7,1
0.474962,12,62,906,76,13996.90918,1,4,1
0.818168,10,254,564,56,4967.195312,1,7,1
35.181515,4144,254,5487011,1324,1247402.125,1,3,1
0.37681,10,254,562,56,10742.81445,1,8,1
2.3e-05,2,254,168,84,29217390.0,1,7,1
3e-06,2,254,168,84,224000000.0,1,7,1
0.346076,10,254,914,91,19024.72266,1,4,1
3.315317,182,62,214505,1179,514767.0625,1,4,1
4e-06,2,254,2792,1396,2792000000.0,1,4,1
1e-06,2,254,168,84,672000000.0,1,7,1
8e-06,2,254,168,84,84000000.0,1,7,1
0.671246,10,254,564,56,6054.412109,1,7,1
0.67514,10,254,564,56,6019.492188,1,7,1
0.277344,10,62,800,80,20768.43359,1,4,1
0.012899,2,254,96,48,29769.75,1,4,1
0.623815,10,254,564,56,6514.751953,1,7,1
0.190103,10,62,916,92,34718.02344,1,4,1
5e-06,2,254,180,90,144000000.0,3,1,1
5e-06,2,254,180,90,144000000.0,3,4,1
5e-06,2,254,180,90,144000000.0,3,4,1
3e-06,2,254,180,90,239999984.0,3,5,1
3e-06,2,254,180,90,239999984.0,3,3,1
3e-06,2,254,180,90,239999984.0,3,3,1
3e-06,2,254,180,90,239999984.0,3,4,1
3e-06,2,254,180,90,239999984.0,3,5,1
3e-06,2,254,180,90,239999984.0,3,3,1
3e-06,2,254,180,90,239999984.0,3,3,1
3e-06,2,254,180,90,239999984.0,3,4,1
1.160125,22,62,1190,54,7833.638672,1,4,1
1.160125,22,62,1190,54,7833.638672,1,4,1
1.007653,4,254,360,90,2143.594971,1,7,1
1.007653,4,254,360,90,2143.594971,1,3,1
1.007653,4,254,360,90,2143.594971,1,3,1
1.007653,4,254,360,90,2143.594971,1,4,1
0.192322,12,254,5098,425,194423.9375,1,4,1
0.187225,10,254,1988,199,76485.51563,1,4,1
0.675253,10,254,564,56,6018.485352,1,7,1
8e-06,2,254,180,90,90000000.0,10,3,1
3e-06,2,254,200,100,266666656.0,10,2,1
3e-06,2,254,200,100,266666656.0,10,4,1
3e-06,2,254,200,100,266666656.0,10,4,1
6e-06,2,254,180,90,119999992.0,10,5,1
6e-06,2,254,180,90,119999992.0,10,3,1
6e-06,2,254,180,90,119999992.0,10,3,1
6e-06,2,254,180,90,119999992.0,10,3,1
6e-06,2,254,180,90,119999992.0,10,4,1
2e-06,2,254,180,90,360000000.0,10,4,1
6e-06,2,254,180,90,119999992.0,10,3,1
1.3e-05,2,254,168,84,51692308.0,1,7,1
6e-06,2,254,180,90,119999992.0,10,4,1
0.707186,18,62,1032,57,11029.62988,1,4,1
3e-06,2,254,180,90,239999984.0,10,5,1
1.5e-05,2,254,168,84,44800000.0,1,7,1
3e-06,2,254,180,90,239999984.0,10,3,1
0.781325,22,62,1186,54,11600.80664,1,4,1
0.225991,10,254,1170,117,37275.82031,1,4,1
3e-06,2,254,180,90,239999984.0,10,3,1
0.227117,10,62,834,83,26453.32617,1,4,1
3e-06,2,254,180,90,239999984.0,10,4,1
1e-05,2,254,748,374,299200000.0,1,4,1
3e-06,2,254,180,90,239999984.0,10,4,1
1.411386,22,62,1202,55,6507.078613,1,4,1
0.244608,10,254,980,98,28846.1543,1,7,1
1.253977,252,62,308919,1226,1962996.25,1,4,1
2e-05,2,254,168,84,33600000.0,1,7,1
0.371083,10,254,950,95,18432.53516,1,5,1
7e-06,2,254,168,84,96000000.0,1,7,1
1.246909,4,254,400,100,1924.759521,2,3,1
0.489758,20,254,1040,52,16138.58203,1,2,1
0.489758,20,254,1040,52,16138.58203,1,3,1
1.246909,4,254,400,100,1924.759521,2,3,1
57.237827,1642,62,70700,43,9875.567383,1,3,1
1.246909,4,254,400,100,1924.759521,2,4,1
0.231606,12,62,926,77,29325.66406,1,4,1
1.246909,4,254,400,100,1924.759521,2,4,1
1.565097,60,62,2976,50,14961.37305,1,4,1
8e-06,2,254,168,84,84000000.0,1,7,1
1.246909,4,254,400,100,1924.759521,2,4,1
1.644148,232,62,283242,1221,1372246.25,1,4,1
9e-06,2,254,200,100,88888888.0,2,2,1
7.312841,40,254,10880,272,11604.79199,1,7,1
9e-06,2,254,200,100,88888888.0,2,4,1
7.312841,40,254,10880,272,11604.79199,1,3,1
5e-06,2,254,200,100,160000000.0,1,3,1
7.312841,40,254,10880,272,11604.79199,1,3,1
5e-06,2,254,200,100,160000000.0,1,3,1
7.312841,40,254,10880,272,11604.79199,1,4,1
0.27331,10,254,898,90,23680.07031,1,4,1
8e-06,2,254,200,100,100000000.0,1,1,1
0.155371,22,254,19834,902,974853.75,1,4,1
8e-06,2,254,200,100,100000000.0,1,3,1
0.217978,10,254,802,80,26498.08594,1,4,1
5e-06,2,254,200,100,160000000.0,3,7,1
5e-06,2,254,200,100,160000000.0,3,3,1
0.625488,10,254,564,56,6497.327148,1,7,1
5e-06,2,254,200,100,160000000.0,3,4,1
0.2647,10,254,2652,265,72142.04688,1,4,1
5e-06,2,254,200,100,160000000.0,3,5,1
0.496533,10,62,962,96,13952.74805,1,4,1
5e-06,2,254,200,100,160000000.0,3,3,1
0.632841,10,254,564,56,6421.834473,1,7,1
0.181007,10,254,2792,279,111067.5313,1,4,1
5e-06,2,254,200,100,160000000.0,3,3,1
0.626981,10,254,564,56,6481.85498,1,7,1
5e-06,2,254,200,100,160000000.0,3,4,1
1.755642,62,62,3010,49,13497.05664,1,4,1
0.633985,18,62,1024,57,12214.80078,1,4,1
3e-06,2,254,200,100,266666656.0,3,3,1
0.18229,10,254,1006,101,39760.82031,1,4,1
